cheese,cheese family,boldness
american,shitty,mild
muenster,great,mild
low fat american,shitty,mild
asiago,,sharp
swiss,great,sharp
pepper jack,spicy,mild
colby jack,,mild
bold jack,,medium
gouda,great,sharp
smoked gouda,smoked,medium
chipotle gouda,spicy,medium
horseradish cheddar,spicy,medium
cream havarti,,medium
havartie with dill,spicy,sharp
edam,,medium
baby swiss,,medium
monterey jack,shitty,mild
colby,,sharp
manchego,,sharp
mild swiss,,mild
gruyere,,sharp
smoked gruyere,smoked,sharp
provolone,,mild
sharp provolone,,sharp
mild provolone,,mild
sharp american,shitty,sharp
sharp cheddar,great,sharp
mild cheddar,,mild
medium cheddar,,medium
mozzarella,great,mild
brie,creamy,mild
parmesan,hard,sharp
pecorino roman,hard,sharp
camembert,soft,sharp
goat cheese,weird,sharp
druken goat,weird,medium
sheeps milk gouda,weird,medium
sheeps milk cheddar,weird,medium
blue cheese,blue,sharp
roquefort,blue,sharp
gorgonzola,blue,sharp
stilton,blue,sharp
feta,middle eastern,sharp
halloumi,middle eastern,mild
sirene,middle eastern,sharp
telemea,middle eastern,sharp
cheese whiz,shitty,mild
velveeta,shitty,mild
cheese sauce,shitty,mild
