Topping,Type,Adventure Rating
arugula,leafy green,boring
beet greens,leafy green,intruiging
bok choy,leafy green,risky biz
cabbage,leafy green,risky biz
celery,leafy green,risky biz
collard greens,leafy green,boring
dill,leafy green,intruiging
kale,leafy green,intruiging
lettuce,leafy green,boring
radicchio,leafy green,risky biz
spinach,leafy green,boring
swiss chard,leafy green,risky biz
watercress,leafy green,risky biz
wheatgrass,leafy green,intruiging
avocado,fruit,intruiging
bell pepper,fruit,intruiging
cucumber,fruit,boring
eggplant,fruit,risky biz
pumpkin,fruit,risky biz
squash,fruit,risky biz
sweet pepper,fruit,boring
tomatillo,fruit,risky biz
tomato,fruit,boring
watermelon,fruit,risky biz
zucchini,fruit,intruiging
artichoke,flower/flowerbud,intruiging
broccoli,flower/flowerbud,boring
cauliflower,flower/flowerbud,intruiging
black eyed pea,podded,intruiging
chickpea,podded,risky biz
fava bean,podded,risky biz
garbanzo,podded,risky biz
green bean,podded,intruiging
lentil,podded,risky biz
lima bean,podded,risky biz
okra,podded,intruiging
pickle,fruit,boring
pea,podded,risky biz
peanut,podded,risky biz
snap pea,podded,risky biz
pineapple,fruit,intruiging
beet,bulb/stem,intruiging
soybean,podded,risky biz
asparagus,bulb/stem,intruiging
garlic,bulb/stem,intruiging
chives,bulb/stem,boring
leek,bulb/stem,risky biz
onion,bulb/stem,boring
shallot,bulb/stem,risky biz
radish,root,intruiging
jicama,root,intruiging
potato,root,intruiging
sweet potato,root,intruiging
turnip,root,risky biz
yam,root,intruiging
"socks, ya asshole",nonsense,risky biz
nail clippings,nonsense,intruiging
messenger bag,nonsense,boring
wristwatch,nonsense,risky biz
ideas,nonsense,boring
breckin meyer,nonsense,intruiging
pure gold,nonsense,risky biz
sexual discharge,nonsense,intruiging
carrot,root,intruiging
cilantro,leafy green,boring
